ET,V,N,SA,IA,RL,RE,P,FX,FY,FZ,MX,MZ,NFX,NFY,RST,TSTI,TSTC,TSTO,AMBTMP,SR
sec,kph,rpm,deg,deg,cm,cm,kPa,N,N,N,N-m,N-m,none,none,deg C,deg C,deg C,deg C,deg F,none
0.000,0.12,2.33,-0.012,0.021,25.278,13.991,54.70,-29.87,-17.88,-1073.23,-0.65,-2.68,0.03,0.02,33.96,38.30,46.70,46.72,84.02,0.807
0.020,0.11,2.57,-0.009,0.021,25.278,11.270,54.77,-27.00,-17.86,-1076.42,0.32,-1.89,0.03,0.02,29.58,38.33,46.71,46.72,84.05,1.243
0.040,0.10,2.61,-0.009,0.025,25.273,9.678,54.63,-31.38,-16.50,-1078.02,0.52,-2.86,0.03,0.02,25.02,38.33,46.68,46.72,84.01,1.611
0.060,0.09,2.45,-0.006,0.022,25.274,9.791,54.70,-28.03,-18.56,-1075.00,0.02,-2.10,0.03,0.02,24.45,38.35,46.70,46.69,84.06,1.581
0.080,0.10,2.37,-0.011,0.021,25.276,10.634,54.63,-29.31,-17.16,-1076.17,0.78,-2.43,0.03,0.02,29.77,38.33,46.70,46.71,84.02,1.377
0.100,0.13,2.26,-0.005,0.030,25.272,15.024,54.70,-31.13,-15.84,-1072.98,-0.02,-2.74,0.03,0.01,32.80,38.35,46.70,46.72,84.05,0.682
0.120,0.12,2.18,-0.015,0.022,25.274,14.428,54.63,-29.06,-17.18,-1072.24,-0.29,-2.32,0.03,0.02,32.96,38.36,46.68,46.71,84.02,0.752
0.140,0.10,2.14,-0.012,0.022,25.276,12.957,54.70,-29.11,-17.18,-1072.84,-0.02,-2.58,0.03,0.02,27.24,38.32,46.68,46.73,84.04,0.951
0.160,0.10,1.98,-0.008,0.022,25.276,13.978,54.70,-29.33,-18.57,-1072.13,-0.33,-2.44,0.03,0.02,23.90,38.36,46.70,46.71,84.05,0.808
0.180,0.10,1.90,-0.003,0.025,25.277,13.902,54.70,-27.32,-17.20,-1072.11,-0.13,-2.27,0.03,0.02,27.14,38.36,46.68,46.71,84.02,0.818
0.200,0.10,1.79,-0.011,0.018,25.279,14.814,54.70,-30.89,-17.14,-1072.01,0.10,-2.88,0.03,0.02,31.48,38.38,46.71,46.69,84.05,0.706
0.220,0.14,1.79,-0.008,0.022,25.278,20.351,54.77,-29.32,-18.55,-1074.75,0.38,-2.43,0.03,0.02,33.63,38.39,46.71,46.71,84.01,0.242
0.240,0.12,1.75,-0.011,0.028,25.275,18.684,54.77,-27.27,-17.22,-1072.70,0.12,-2.01,0.03,0.02,30.21,38.39,46.70,46.72,84.05,0.353
0.260,0.10,1.63,-0.003,0.025,25.273,16.234,54.70,-29.33,-16.49,-1073.91,0.78,-2.43,0.03,0.02,25.39,38.36,46.70,46.69,84.02,0.557
0.280,0.10,1.59,-0.012,0.025,25.273,17.410,54.77,-28.02,-17.89,-1074.86,0.29,-2.10,0.03,0.02,24.33,38.35,46.73,46.69,84.04,0.452
0.300,0.10,1.59,-0.008,0.022,25.272,16.633,54.77,-29.06,-16.48,-1074.87,0.53,-2.31,0.03,0.02,29.60,38.39,46.71,46.75,84.03,0.519
0.320,0.13,1.47,-0.011,0.021,25.272,22.989,54.77,-30.09,-16.46,-1076.19,0.90,-2.52,0.03,0.02,32.76,38.36,46.71,46.72,84.02,0.099
0.340,0.14,1.44,-0.008,0.021,25.270,25.338,54.77,-27.77,-17.87,-1073.80,-0.39,-1.99,0.03,0.02,33.19,38.39,46.71,46.72,84.06,-0.003
0.360,0.11,1.44,-0.009,0.021,25.272,20.168,54.70,-29.60,-17.87,-1073.95,-0.56,-2.56,0.03,0.02,27.42,38.36,46.71,46.76,84.02,0.253
0.380,0.10,1.40,-0.008,0.024,25.272,18.961,54.70,-28.79,-18.58,-1075.84,-0.08,-2.20,0.03,0.02,23.94,38.36,46.65,46.75,84.06,0.333
0.400,0.09,1.36,-0.006,0.028,25.271,17.684,54.77,-27.77,-16.52,-1076.42,0.49,-1.98,0.03,0.02,26.91,38.36,46.68,46.76,84.02,0.429
0.420,0.10,1.32,-0.011,0.022,25.272,21.023,54.70,-30.79,-19.95,-1075.85,-0.29,-2.36,0.03,0.02,31.33,38.32,46.67,46.76,84.05,0.202
0.440,0.13,1.20,-0.011,0.021,25.272,29.255,54.70,-29.01,-19.25,-1076.56,-0.08,-2.05,0.03,0.02,33.57,38.36,46.67,46.78,84.03,-0.136
0.460,0.12,1.20,-0.005,0.021,25.270,27.196,54.63,-28.25,-18.55,-1076.43,0.21,-1.96,0.03,0.02,31.05,38.36,46.67,46.76,84.03,-0.071
0.480,0.10,1.16,-0.009,0.022,25.270,23.852,54.70,-30.04,-17.16,-1077.75,0.78,-2.26,0.03,0.02,25.88,38.36,46.68,46.79,84.04,0.059
0.500,0.10,1.12,-0.006,0.028,25.267,23.581,54.77,-27.46,-17.22,-1077.27,0.29,-1.60,0.03,0.02,23.25,38.38,46.68,46.79,84.02,0.071
0.520,0.08,1.20,-0.008,0.025,25.267,17.926,54.63,-31.07,-17.89,-1076.57,0.12,-2.48,0.03,0.02,28.18,38.36,46.65,46.82,84.06,0.410
0.540,0.11,1.47,-0.002,0.027,25.267,20.472,54.70,-28.48,-18.60,-1076.69,-0.18,-1.82,0.03,0.02,32.01,38.40,46.68,46.82,84.02,0.234
0.560,0.13,1.94,-0.005,0.024,25.268,18.078,54.70,-29.24,-17.18,-1077.15,0.50,-1.91,0.03,0.02,33.86,38.42,46.68,46.84,84.06,0.398
0.580,0.11,2.30,-0.006,0.027,25.267,13.152,54.77,-30.76,-18.59,-1076.58,0.00,-2.10,0.03,0.02,28.77,38.43,46.68,46.82,84.02,0.921
0.600,0.10,2.45,-0.005,0.025,25.267,10.800,54.63,-28.70,-19.27,-1077.15,0.16,-1.67,0.03,0.02,24.63,38.46,46.67,46.84,84.03,1.340
0.620,0.10,2.49,-0.009,0.021,25.268,10.630,54.70,-30.76,-17.85,-1075.72,0.23,-2.09,0.03,0.02,26.24,38.43,46.70,46.84,84.04,1.377
0.640,0.11,2.33,-0.011,0.024,25.270,12.402,54.83,-31.78,-18.56,-1076.45,0.19,-2.31,0.03,0.02,30.91,38.43,46.67,46.84,84.03,1.038
0.660,0.14,2.30,-0.006,0.027,25.271,15.846,54.77,-28.48,-17.90,-1076.56,0.10,-1.82,0.03,0.02,33.35,38.43,46.68,46.84,84.06,0.595
0.680,0.14,2.18,-0.008,0.028,25.267,16.699,54.63,-31.03,-17.90,-1074.17,0.19,-2.21,0.03,0.02,29.72,38.46,46.70,46.81,84.02,0.513
0.700,0.11,2.10,-0.012,0.022,25.266,14.376,54.77,-30.01,-17.18,-1073.69,-0.11,-2.00,0.03,0.02,25.14,38.48,46.70,46.82,84.05,0.758
0.720,0.11,1.90,-0.011,0.024,25.268,15.851,54.77,-30.49,-17.17,-1075.59,0.50,-1.97,0.03,0.02,26.45,38.48,46.70,46.82,84.03,0.594
