TIRF Data File: Project 1320; Run 54
ET	V	N	SA	IA	RL	RE	P	FX	FY	FZ	MX	MZ	NFX	NFY	RST	TSTI	TSTC	TSTO	AMBTMP	SR
sec	kph	rpm	deg	deg	cm	cm	kPa	N	N	N	N-m	N-m	none	none	deg C	deg C	deg C	deg C	deg F	none
0.000	0.12	1.28	-0.009	0.034	25.524	24.567	82.41	-23.23	-23.64	-1078.28	-0.86	-4.19	0.02	0.02	29.01	41.25	48.08	47.08	84.10	0.039
0.020	0.14	1.28	-0.012	0.033	25.521	29.402	82.47	-22.19	-24.31	-1079.45	-0.44	-3.98	0.02	0.02	32.35	41.27	48.11	47.07	84.07	-0.132
0.040	0.16	1.36	-0.008	0.028	25.532	31.354	82.41	-23.49	-24.99	-1076.00	-1.14	-4.31	0.02	0.02	30.01	41.27	48.11	47.07	84.09	-0.186
0.060	0.15	1.67	-0.009	0.033	25.523	24.002	82.54	-21.18	-23.62	-1077.30	-0.59	-3.77	0.02	0.02	25.35	41.24	48.11	47.10	84.08	0.063
0.080	0.13	2.06	-0.008	0.033	25.523	16.449	82.47	-21.98	-23.62	-1078.02	-0.50	-4.12	0.02	0.02	26.77	41.27	48.11	47.07	84.09	0.552
0.100	0.13	2.45	-0.006	0.027	25.524	13.827	82.47	-23.23	-23.58	-1078.87	-0.55	-4.19	0.02	0.02	31.13	41.30	48.16	47.14	84.11	0.846
0.120	0.16	2.53	-0.012	0.030	25.519	16.822	82.47	-19.92	-23.61	-1076.69	-0.84	-3.70	0.02	0.02	32.80	41.28	48.15	47.14	84.08	0.517
0.140	0.15	2.57	-0.008	0.033	25.523	15.603	82.34	-23.27	-24.31	-1078.75	-0.52	-4.45	0.02	0.02	27.48	41.30	48.16	47.14	84.13	0.636
0.160	0.13	2.41	-0.014	0.025	25.522	14.564	82.47	-21.97	-25.66	-1077.43	-1.06	-4.13	0.02	0.02	24.11	41.27	48.13	47.15	84.09	0.752
0.180	0.13	2.37	-0.011	0.028	25.524	14.282	82.41	-20.72	-23.60	-1078.72	-0.39	-4.05	0.02	0.02	28.67	41.27	48.13	47.17	84.12	0.787
0.200	0.14	2.26	-0.006	0.031	25.523	16.669	82.47	-24.02	-24.30	-1078.03	-0.60	-4.55	0.02	0.02	32.13	41.28	48.13	47.17	84.10	0.531
0.220	0.15	2.18	-0.009	0.031	25.523	18.403	82.47	-18.93	-24.31	-1078.00	-0.61	-3.75	0.02	0.02	31.74	41.27	48.13	47.18	84.11	0.387
0.240	0.13	1.98	-0.009	0.028	25.522	17.722	82.54	-19.47	-25.00	-1075.26	-1.24	-3.99	0.02	0.02	26.39	41.25	48.13	47.17	84.12	0.440
0.260	0.12	1.90	-0.006	0.027	25.524	17.150	82.34	-20.99	-24.99	-1076.96	-1.40	-4.18	0.02	0.02	24.11	41.25	48.16	47.18	84.11	0.488
0.280	0.11	1.87	-0.011	0.027	25.522	15.520	82.27	-19.42	-24.27	-1078.46	-0.14	-3.72	0.02	0.02	29.16	41.27	48.15	47.21	84.13	0.644
0.300	0.14	1.75	-0.006	0.031	25.525	20.806	82.47	-21.48	-23.61	-1076.45	-0.49	-4.15	0.02	0.02	32.43	41.25	48.19	47.20	84.10	0.227
